Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
210821_b6ku_3_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210821_b6ku_3_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210829_Ku_BL6_22296_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e1_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
210913_b6ku_22297_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e3_het,HET,C57BL6,N,Y,Left,N,N,Y,N,N,N,N,N,N,2
210913_b6ku_22297_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22297_e8_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22298_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22298_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22298_e8_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
210913_b6ku_22299_e3_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
210913_b6ku_22299_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22299_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e6_het,HET,C57BL6,Y,N,Both,N,N,N,Y,N,Y,N,N,N,2
210913_b6ku_22300_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210913_b6ku_22300_e8_het,HET,C57BL6,Y,N,Both,N,N,N,Y,N,Y,N,N,N,2
210913_b6ku_22999_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22296_e3_het,HET,C57BL6,N,Y,Right,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22296_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22296_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22296_e6_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,Y,N,N,2
210926_Ku_BL6_22296_e7_het,HET,C57BL6,N,Y,Both,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22296_e8_het,HET,C57BL6,Y,N,Left,N,Y,N,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e1_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e2_het,HET,C57BL6,Y,N,Right,N,N,Y,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e5_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22298_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210926_Ku_BL6_22299_e1_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,Y,N,N,2
210926_Ku_BL6_22300_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
210928_Ku_BL6_22296_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_75_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_75_e3_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_75_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_75_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_75_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_75_e7_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_75_e8_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_89_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_89_e2_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_93_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211217_Ku_C3H_93_e2_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_93_e3_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_93_e4_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211217_Ku_C3H_93_e5_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
211219_Ku_C3H_56_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
